aviris_wl,ch4_Kcoef_interp1d
376.86,0.0
381.87,0.0
386.88,0.0
391.89,0.0
396.89,0.0
401.9,0.0
406.91,0.0
411.92,0.0
416.93,0.0
421.94,0.0
426.95,0.0
431.96,0.0
436.96,0.0
441.97,0.0
446.98,0.0
451.99,0.0
457.0,0.0
462.01,0.0
467.02,0.0
472.02,0.0
477.03,0.0
482.04,0.0
487.05,0.0
492.06,0.0
497.07,0.0
502.08,0.0
507.09,0.0
512.09,0.0
517.1,0.0
522.11,0.0
527.12,0.0
532.13,0.0
537.14,0.0
542.15,0.0
547.15,0.0
552.16,0.0
557.17,0.0
562.18,0.0
567.19,0.0
572.2,0.0
577.21,0.0
582.22,0.0
587.22,0.0
592.23,0.0
597.24,0.0
602.25,0.0
607.26,0.0
612.27,0.0
617.28,0.0
622.28,0.0
627.29,0.0
632.3,0.0
637.31,0.0
642.32,0.0
647.33,0.0
652.34,0.0
657.35,0.0
662.35,0.0
667.36,0.0
672.37,0.0
677.38,0.0
682.39,0.0
687.4,0.0
692.41,0.0
697.41,0.0
702.42,0.0
707.43,0.0
712.44,0.0
717.45,0.0
722.46,0.0
727.47,0.0
732.48,0.0
737.48,0.0
742.49,0.0
747.5,0.0
752.51,0.0
757.52,0.0
762.53,0.0
767.54,0.0
772.54,0.0
777.55,0.0
782.56,0.0
787.57,0.0
792.58,0.0
797.59,0.0
802.6,0.0
807.61,0.0
812.61,0.0
817.62,0.0
822.63,0.0
827.64,0.0
832.65,0.0
837.66,0.0
842.67,0.0
847.67,0.0
852.68,0.0
857.69,0.0
862.7,0.0
867.71,0.0
872.72,3.6914846315648353e-25
877.73,4.211101273581296e-25
882.74,5.862846298753911e-24
887.74,7.531033995114825e-24
892.75,2.2958461442714375e-24
897.76,1.5781216171228668e-24
902.77,1.5342663059735076e-24
907.78,1.9842437935265098e-25
912.79,1.5583084202943893e-25
917.8,0.0
922.81,0.0
927.81,0.0
932.82,0.0
937.83,0.0
942.84,0.0
947.85,0.0
952.86,0.0
957.87,0.0
962.87,5.195176086539611e-25
967.88,1.0187441405692972e-24
972.89,2.946458510634347e-25
977.9,6.255902465156909e-25
982.91,1.8501067300534626e-24
987.92,4.041633546350882e-24
992.93,1.2448133740707871e-24
997.94,2.1737416567379037e-24
1002.94,2.1883983438435e-24
1007.95,3.610780037690805e-24
1012.96,3.555705803905689e-24
1017.97,3.193344986471551e-24
1022.98,1.231661924431466e-24
1027.99,4.494873556619089e-25
1033.0,6.249965787127685e-25
1038.0,2.4783731211571007e-25
1043.01,3.914464520867469e-27
1048.02,1.400350155323154e-28
1053.03,0.0
1058.04,0.0
1063.05,0.0
1068.06,0.0
1073.07,0.0
1078.07,0.0
1083.08,0.0
1088.09,2.228207235211978e-26
1093.1,5.281969240182802e-25
1098.11,1.0915162694956842e-25
1103.12,6.333274886285337e-25
1108.13,3.101419997234758e-24
1113.13,2.268698027142064e-24
1118.14,1.4738643273661958e-23
1123.15,4.324204451810054e-23
1128.16,1.786885853027687e-23
1133.17,2.5448241525073252e-23
1138.18,3.679154665386423e-23
1143.19,1.5314537973180068e-23
1148.2,2.145476627548155e-23
1153.2,2.936911775468958e-22
1158.21,5.931116709909338e-23
1163.22,8.911049647751401e-23
1168.23,3.556842663760126e-23
1173.24,4.561688387194122e-23
1178.25,3.3956263824582337e-23
1183.26,1.1241964357064136e-23
1188.26,2.1536651060497368e-23
1193.27,5.155524059128235e-24
1198.28,5.694158863249933e-24
1203.29,1.2874556853276085e-23
1208.3,2.2631851258132427e-24
1213.31,2.2010534625374514e-24
1218.32,9.006618446680636e-25
1223.33,8.1295386311527e-25
1228.33,7.490043918816707e-25
1233.34,8.013361484186857e-25
1238.35,5.198387999333054e-25
1243.36,2.7821239449181252e-25
1248.37,1.2749639857248277e-25
1253.38,7.650004512973323e-26
1258.39,1.972537934169719e-25
1263.39,6.690317822866546e-26
1268.4,5.771962540001741e-26
1273.41,4.502995722503231e-26
1278.42,2.7398161248669766e-26
1283.43,2.6106546929527057e-26
1288.44,2.0672084994876896e-26
1293.45,1.251733496113577e-25
1298.46,4.109824574777041e-25
1303.46,1.2636400506735169e-24
1308.47,4.82037294056037e-24
1313.48,1.154939641333219e-24
1318.49,2.5498609729038414e-23
1323.5,4.340270554040216e-24
1328.51,1.3912471933658915e-23
1333.52,1.8795659072066866e-23
1338.52,1.0007993479865204e-22
1343.53,1.5336952208730364e-22
1348.54,4.587476366128938e-23
1353.55,3.0478488755397314e-23
1358.56,2.155467486716351e-22
1363.57,4.416381690743219e-23
1368.58,1.7570718678799558e-22
1373.59,4.249437157985338e-23
1378.59,4.446838217968229e-23
1383.6,6.662101890291525e-23
1388.61,9.22650118626808e-23
1393.62,9.809206831550987e-23
1398.63,8.045338877961649e-23
1403.64,2.6577157435812667e-23
1408.65,2.096669143880718e-22
1413.65,2.3015091311453072e-23
1418.66,4.4317337241763164e-23
1423.67,1.1695919412983393e-23
1428.68,1.5786985959076382e-23
1433.69,2.2180381578465537e-23
1438.7,1.9557262928771576e-23
1443.71,5.7945917438816484e-24
1448.72,4.0801555795659495e-24
1453.72,5.138030256426742e-24
1458.73,4.973750990257637e-24
1463.74,3.873618728676746e-24
1468.75,3.2651851106551414e-24
1473.76,5.521616084751546e-24
1478.77,1.397201955773884e-23
1483.78,2.5405402655552988e-24
1488.78,1.3845295954383783e-24
1493.79,2.6547404026599378e-24
1498.8,2.4967957102995444e-24
1503.81,1.257365725170041e-24
1508.82,4.084380605200662e-25
1513.83,2.3736371140445274e-25
1518.84,2.642252986307274e-25
1523.85,4.632738359157493e-25
1528.85,1.2666508960788439e-25
1533.86,7.833475097250332e-26
1538.87,7.894912113157266e-26
1543.88,6.646534062347423e-26
1548.89,4.057440618823636e-26
1553.9,9.414198694985568e-26
1558.91,7.019432582158508e-26
1563.91,5.09945940818259e-26
1568.92,1.301390285246013e-25
1573.93,2.6128984241320466e-26
1578.94,1.511718638375083e-26
1583.95,6.148678363589395e-26
1588.96,1.9266048884960557e-26
1593.97,1.7335956842436166e-25
1598.98,3.0045871225068712e-25
1603.98,1.3066254497705561e-24
1608.99,4.460143852826769e-25
1614.0,6.752550468499267e-24
1619.01,1.936915111740632e-23
1624.02,3.685082720815619e-23
1629.03,6.057489061243286e-23
1634.04,2.0885810890878102e-23
1639.04,5.510597238287743e-23
1644.05,7.7626924060427e-24
1649.06,5.438720292577571e-23
1654.07,6.237076207987988e-23
1659.08,5.065462631424115e-23
1664.09,1.7807840132560742e-23
1669.1,3.297639018562353e-23
1674.11,4.398520654145588e-23
1679.11,5.330025767133996e-23
1684.12,6.108274506672701e-22
1689.13,6.617946040108018e-23
1694.14,3.124252793758985e-22
1699.15,3.877934625701879e-23
1704.16,2.1988792550510125e-22
1709.17,5.945025398795146e-23
1714.17,7.120754003815392e-23
1719.18,4.3318224505721425e-23
1724.19,2.617992562691054e-22
1729.2,5.584335436789526e-22
1734.21,1.0993749924131704e-22
1739.22,5.681609971015333e-23
1744.23,7.128665042067169e-23
1749.24,3.608067199824428e-23
1754.24,3.119038220979753e-23
1759.25,8.743258435133913e-23
1764.26,1.8244367145259538e-22
1769.27,6.414228571136911e-23
